spotify_id,name,artists,daily_rank,daily_movement,weekly_movement,country,snapshot_date,popularity,is_explicit,duration_ms,album_name,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
2RkZ5LkEzeHGRsmDqKwmaJ,Ordinary,Alex Warren,1,1,0,,2025-06-11,95,False,186964,"You'll Be Alright, Kid (Chapter 1)",2024-09-26,0.368,0.694,2,-6.141,1,0.06,0.704,6.59e-06,0.055,0.391,168.115,3
42UBPzRMh5yyz0EDPr6fr1,Manchild,Sabrina Carpenter,2,-1,48,,2025-06-11,89,True,213645,Manchild,2025-06-05,0.731,0.685,7,-5.087,1,0.0572,0.122,0.0,0.317,0.811,123.01,4
0FTmksd2dxiE5e3rWyJXs6,back to friends,sombr,3,0,1,,2025-06-11,98,False,199032,back to friends,2024-12-27,0.436,0.723,1,-2.291,1,0.0301,9.37e-05,8.82e-05,0.0929,0.235,92.855,4
7so0lgd0zP2Sbgs2d7a1SZ,Die With A Smile,"Lady Gaga, Bruno Mars",4,0,-1,,2025-06-11,91,False,251667,MAYHEM,2025-03-07,0.519,0.601,6,-7.727,0,0.0317,0.289,0.0,0.126,0.498,157.964,3
6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,Billie Eilish,5,1,0,,2025-06-11,100,False,210373,HIT ME HARD AND SOFT,2024-05-17,0.747,0.507,2,-10.171,1,0.0358,0.2,0.0608,0.117,0.438,104.978,4
27xkOIER6uDLKALIelHylZ,Don’t Say You Love Me,Jin,6,-1,-4,,2025-06-11,93,False,180716,Echo,2025-05-16,0.729,0.562,8,-5.49,1,0.0304,0.484,0.0,0.105,0.757,111.976,4
6iOndD4OFo7GkaDypWQIou,La Plena - W Sound 05,"W Sound, Beéle, Ovy On The Drums",7,0,0,,2025-06-11,95,True,150001,La Plena (W Sound 05),2025-02-19,0.894,0.643,5,-3.485,1,0.132,0.543,0.000984,0.101,0.659,99.039,4
4AajxCEwGEsmHmT4H1TwjY,undressed,sombr,8,0,-2,,2025-06-11,96,False,182088,undressed,2025-03-21,0.642,0.887,0,-3.883,1,0.0406,0.137,0.0,0.0829,0.888,115.999,4
4wJ5Qq0jBN4ajy7ouZIV1c,APT.,"ROSÉ, Bruno Mars",9,1,-1,,2025-06-11,89,False,169917,rosie,2024-12-06,0.777,0.783,0,-4.477,0,0.26,0.0283,0.0,0.355,0.939,149.027,4
4WFgvKVfEhb3IUAFGrutTR,Love Me Not,Ravyn Lenae,10,-1,9,,2025-06-11,91,False,213466,Bird's Eye,2024-08-09,0.779,0.731,0,-6.176,1,0.0306,0.296,0.0,0.128,0.814,114.001,4
3QaPy1KgI7nu9FJEQUgn6h,WILDFLOWER,Billie Eilish,11,1,1,,2025-06-11,96,False,261466,HIT ME HARD AND SOFT,2024-05-17,0.467,0.247,6,-12.002,0,0.0431,0.612,0.000271,0.17,0.126,148.101,4
6eLQXa6uk2EW8drsiKbABZ,TU SANCHO,Fuerza Regida,12,2,-1,,2025-06-11,90,True,177994,111XPANTIA,2025-05-02,0.689,0.84,8,-6.423,1,0.0457,0.576,0.0,0.126,0.631,120.012,3
2yWlGEgEfPot0lv3OAjuG3,Just Keep Watching (From F1® The Movie),"Tate McRae, F1 The Album",13,0,-3,,2025-06-11,91,False,142550,Just Keep Watching (From F1® The Movie),2025-05-30,0.656,0.796,9,-5.856,0,0.113,0.0767,0.0,0.509,0.425,129.956,4
3xkHsmpQCBMytMJNiDf3Ii,Beautiful Things,Benson Boone,14,3,-1,,2025-06-11,93,False,180304,Fireworks & Rollerblades,2024-04-05,0.472,0.471,10,-5.692,1,0.0603,0.151,0.0,0.14,0.219,105.029,3
2HRqTpkrJO5ggZyyK6NPWz,Espresso,Sabrina Carpenter,15,1,6,,2025-06-11,91,True,175459,Short n' Sweet,2024-08-23,0.699,0.776,0,-5.282,1,0.0293,0.131,5.36e-06,0.205,0.708,103.963,4
21IYMdzTrzSe191Cy5eMap,Sailor Song,Gigi Perez,16,-1,-2,,2025-06-11,89,False,211978,"At The Beach, In Every Life",2025-04-25,0.499,0.392,11,-10.441,1,0.0262,0.627,7.1e-05,0.192,0.272,95.076,4
3sK8wGT43QFpWrvNQsrQya,DtMF,Bad Bunny,17,2,-2,,2025-06-11,97,True,237117,DeBÍ TiRAR MáS FOToS,2025-01-05,0.625,0.131,7,-27.405,0,0.0717,0.177,0.218,0.0807,0.032,136.02,4
7tI8dRuH2Yc6RuoTjxo4dU,Who,Jimin,18,-7,-9,,2025-06-11,90,False,170887,MUSE,2024-07-19,0.66,0.756,0,-3.743,0,0.032,0.00289,0.0,0.193,0.838,116.034,4
7ne4VBA60CxGM75vw0EYad,That’s So True,Gracie Abrams,19,2,-1,,2025-06-11,96,True,166300,The Secret of Us (Deluxe),2024-10-18,0.554,0.808,1,-4.169,1,0.0368,0.214,0.0,0.159,0.372,108.548,4
0QCIpQV3twfqo9kh0t8Zza,Shake It To The Max (FLY) - Remix,"MOLIY, Silent Addy, Skillibeng, Shenseea",20,-2,-4,,2025-06-11,93,True,178775,Shake It To The Max (FLY) (Remix),2025-02-21,0.856,0.548,0,-6.609,0,0.123,0.561,0.0,0.155,0.562,97.997,4
1HEwEN64NjgTaHmo7LfkX8,no tiene sentido,Beéle,21,-1,3,,2025-06-11,89,False,158036,BORONDO,2025-05-15,0.671,0.596,2,-7.565,0,0.0556,0.0871,1.97e-05,0.119,0.497,121.976,4
4DPdJvSMB6hmrjgC5eC85d,Iris,The Goo Goo Dolls,22,28,28,,2025-06-11,58,False,289533,Stay with You,1998-01-01,0.315,0.715,11,-8.072,0,0.0362,0.00125,7.97e-06,0.0942,0.497,155.925,3
2CGNAOSuO1MEFCbBRgUzjd,luther (with sza),"Kendrick Lamar, SZA",23,-1,-6,,2025-06-11,92,False,177598,GNX,2024-11-21,0.707,0.575,2,-7.546,1,0.125,0.251,0.0,0.248,0.576,138.008,4
