title,artist,top genre,year,bpm,energy,danceability ,dB,liveness,valence,duration,acousticness,speechiness ,popularity,country
Yellow,Coldplay,permanent wave,2000.0,173.0,66.0,43.0,-7.0,23.0,28.0,267.0,0.0,3.0,90.0,GB
The Real Slim Shady,Eminem,detroit hip hop,2000.0,105.0,66.0,95.0,-4.0,5.0,76.0,284.0,3.0,6.0,89.0,US
In the End,Linkin Park,alternative metal,2000.0,105.0,86.0,56.0,-6.0,21.0,40.0,217.0,1.0,6.0,87.0,US
Stan,Eminem,detroit hip hop,2000.0,80.0,77.0,78.0,-4.0,52.0,51.0,404.0,4.0,24.0,85.0,US
Ms. Jackson,Outkast,atl hip hop,2000.0,95.0,81.0,84.0,-6.0,8.0,61.0,271.0,14.0,27.0,83.0,US
It's My Life,Bon Jovi,glam metal,2000.0,120.0,91.0,55.0,-4.0,35.0,54.0,224.0,3.0,5.0,82.0,US
Kryptonite,3 Doors Down,alternative metal,2000.0,99.0,87.0,55.0,-6.0,17.0,54.0,234.0,1.0,3.0,81.0,US
It Wasn't Me,Shaggy,dance pop,2000.0,95.0,61.0,85.0,-5.0,31.0,65.0,228.0,6.0,7.0,80.0,JM
Oops!...I Did It Again,Britney Spears,dance pop,2000.0,95.0,83.0,75.0,-5.0,36.0,89.0,211.0,30.0,4.0,80.0,US
Dancing in the Moonlight,Toploader,british alternative rock,2000.0,119.0,86.0,63.0,-3.0,35.0,87.0,233.0,6.0,3.0,79.0,GB
Rollin' (Air Raid Vehicle),Limp Bizkit,alternative metal,2000.0,96.0,93.0,60.0,-3.0,21.0,71.0,214.0,1.0,17.0,79.0,US
Angel,Shaggy,dance pop,2000.0,171.0,77.0,74.0,-3.0,4.0,81.0,235.0,12.0,18.0,78.0,JM
Better Off Alone,Alice Deejay,bouncy house,2000.0,137.0,88.0,67.0,-6.0,28.0,79.0,215.0,0.0,6.0,78.0,NL
Ride Wit Me,Nelly,dance pop,2000.0,102.0,70.0,85.0,-6.0,24.0,72.0,292.0,6.0,5.0,77.0,US
Beautiful Day,U2,irish rock,2000.0,136.0,93.0,54.0,-6.0,20.0,39.0,248.0,2.0,6.0,76.0,IE
Take A Look Around,Limp Bizkit,alternative metal,2000.0,102.0,85.0,43.0,-6.0,9.0,51.0,321.0,2.0,5.0,76.0,US
Shape of My Heart,Backstreet Boys,boy band,2000.0,96.0,79.0,57.0,-4.0,16.0,52.0,230.0,25.0,3.0,74.0,US
Follow Me,Uncle Kracker,country,2000.0,105.0,59.0,82.0,-5.0,15.0,92.0,218.0,44.0,3.0,73.0,US
I'm Like A Bird,Nelly Furtado,canadian latin,2000.0,90.0,61.0,62.0,-5.0,23.0,61.0,243.0,15.0,4.0,73.0,CA
7 Days,Craig David,british soul,2000.0,83.0,81.0,66.0,-7.0,10.0,89.0,235.0,23.0,5.0,72.0,UNKNOWN
Again,Lenny Kravitz,permanent wave,2000.0,79.0,80.0,55.0,-5.0,11.0,79.0,232.0,1.0,3.0,71.0,US
Breathless,The Corrs,celtic rock,2000.0,127.0,82.0,61.0,-8.0,27.0,77.0,208.0,5.0,6.0,71.0,IE
Country Grammar (Hot Shit),Nelly,dance pop,2000.0,163.0,66.0,87.0,-7.0,14.0,56.0,287.0,1.0,11.0,71.0,US
He Wasn't Man Enough,Toni Braxton,contemporary r&b,2000.0,88.0,95.0,74.0,-2.0,33.0,77.0,262.0,1.0,4.0,71.0,US
My Love,Westlife,boy band,2000.0,144.0,59.0,49.0,-6.0,26.0,33.0,232.0,10.0,3.0,71.0,IE
Rock DJ,Robbie Williams,dance rock,2000.0,103.0,77.0,71.0,-4.0,47.0,86.0,259.0,3.0,3.0,71.0,GB
Absolutely (Story of a Girl) - Radio Mix,Nine Days,pop rock,2000.0,96.0,94.0,48.0,-5.0,9.0,66.0,189.0,0.0,7.0,69.0,US
Bye Bye Bye,*NSYNC,boy band,2000.0,173.0,93.0,61.0,-5.0,8.0,88.0,201.0,4.0,5.0,69.0,US
Lucky,Britney Spears,dance pop,2000.0,95.0,79.0,77.0,-6.0,7.0,97.0,206.0,26.0,3.0,69.0,US
Uptown Girl - Radio Edit,Westlife,boy band,2000.0,129.0,92.0,65.0,-5.0,41.0,86.0,186.0,1.0,3.0,69.0,IE
